Date;pH;amonia;suhu;do
01/01/2023;7.00;0.01;24.0;4.0
01/01/2023;6.88;0.04;23.5;4.1
01/01/2023;7.15;0.03;24.8;3.5
01/01/2023;6.65;0.06;23.0;4.5
01/01/2023;6.98;0.04;24.0;3.9
01/01/2023;7.25;0.05;25.1;3.7
01/01/2023;6.55;0.07;22.8;4.2
01/01/2023;7.35;0.03;26.0;3.2
01/01/2023;6.38;0.05;21.5;2.5
01/01/2023;7.65;0.06;27.0;5.5
01/01/2023;6.05;0.04;20.5;1.8
01/01/2023;7.95;0.07;28.5;6.2
01/01/2023;7.10;0.03;24.5;4.0
01/01/2023;6.90;0.05;23.8;3.6
01/01/2023;6.75;0.04;24.9;4.3
01/01/2023;7.20;0.06;23.2;3.9
01/01/2023;6.60;0.03;25.5;4.1
01/01/2023;7.05;0.05;24.0;3.7
01/01/2023;6.45;0.04;22.0;2.8
01/01/2023;7.55;0.07;26.5;5.0
01/01/2023;6.15;0.03;21.0;2.0
01/01/2023;7.85;0.05;27.5;6.0
01/01/2023;6.99;0.04;24.1;3.9
01/01/2023;7.12;0.06;23.6;4.2
01/01/2023;6.78;0.03;24.7;3.6
01/01/2023;7.08;0.05;23.3;4.0
01/01/2023;6.68;0.04;25.0;3.8
01/01/2023;7.22;0.07;24.4;3.5
01/01/2023;6.32;0.03;22.5;2.6
01/01/2023;7.45;0.05;26.2;4.8
01/01/2023;6.08;0.06;20.8;1.9
01/01/2023;7.75;0.04;28.0;6.1
01/01/2023;6.95;0.05;23.9;3.7
01/01/2023;7.18;0.03;24.6;4.1
01/01/2023;6.85;0.06;23.4;3.7
01/01/2023;7.03;0.04;24.3;3.9
01/01/2023;6.72;0.05;25.3;4.0
01/01/2023;7.28;0.03;23.7;3.6
01/01/2023;6.28;0.06;21.8;2.7
01/01/2023;7.50;0.04;26.8;5.0
01/01/2023;6.12;0.05;21.2;2.2
01/01/2023;7.80;0.03;27.2;5.8
01/01/2023;6.93;0.06;24.0;3.8
01/01/2023;7.07;0.04;23.8;4.0
01/01/2023;6.80;0.05;24.9;3.6
01/01/2023;7.13;0.03;23.1;4.1
01/01/2023;6.62;0.06;25.4;3.7
01/01/2023;7.00;0.04;24.2;3.8
01/01/2023;6.48;0.05;21.7;2.8
01/01/2023;7.60;0.03;26.7;5.2
01/01/2023;6.02;0.06;20.6;1.7
01/01/2023;7.90;0.04;28.2;6.2
01/01/2023;7.01;0.05;24.1;3.7
01/01/2023;6.89;0.03;23.6;4.0
01/01/2023;7.16;0.06;24.8;3.6
01/01/2023;6.66;0.04;23.0;4.3
01/01/2023;6.97;0.05;24.0;3.9
01/01/2023;7.26;0.03;25.2;3.5
01/01/2023;6.56;0.06;22.9;4.1
01/01/2023;7.36;0.04;26.1;3.3
01/01/2023;6.39;0.05;21.6;2.4
01/01/2023;7.66;0.03;27.1;5.6
01/01/2023;6.06;0.06;20.4;1.9
01/01/2023;7.96;0.04;28.6;6.4
01/01/2023;7.11;0.05;24.6;3.9
01/01/2023;6.91;0.03;23.7;3.8
01/01/2023;6.76;0.06;24.7;4.2
01/01/2023;7.21;0.04;23.1;3.7
01/01/2023;6.61;0.05;25.6;4.0
01/01/2023;7.06;0.03;24.0;3.6
01/01/2023;6.46;0.06;21.9;2.7
01/01/2023;7.56;0.04;26.6;5.1
01/01/2023;6.16;0.05;21.1;2.1
01/01/2023;7.86;0.03;27.6;5.9
01/01/2023;6.94;0.06;24.0;3.8
01/01/2023;7.19;0.04;24.5;4.0
01/01/2023;6.86;0.05;23.5;3.7
01/01/2023;7.04;0.03;24.2;3.9
01/01/2023;6.73;0.06;25.0;4.1
01/01/2023;7.29;0.04;23.8;3.6
01/01/2023;6.33;0.05;22.3;2.5
01/01/2023;7.46;0.03;26.3;4.9
01/01/2023;6.09;0.06;20.9;1.8
01/01/2023;7.76;0.04;28.1;6.0
01/01/2023;6.96;0.05;23.9;3.8
01/01/2023;7.17;0.03;24.6;4.1
01/01/2023;6.84;0.06;23.4;3.7
01/01/2023;7.09;0.04;24.3;3.9
01/01/2023;6.71;0.05;25.3;4.0
01/01/2023;7.27;0.03;23.7;3.6
01/01/2023;6.29;0.06;21.7;2.6
01/01/2023;7.51;0.04;26.8;5.0
01/01/2023;6.13;0.05;21.2;2.3
01/01/2023;7.81;0.03;27.3;5.7
01/01/2023;6.92;0.06;23.9;3.8
01/01/2023;7.07;0.04;23.8;4.0
01/01/2023;6.81;0.05;24.9;3.6
01/01/2023;7.14;0.03;23.1;4.1
01/01/2023;6.63;0.06;25.4;3.7
01/01/2023;7.00;0.04;24.2;3.8
01/01/2023;6.47;0.05;21.7;2.8
01/01/2023;7.60;0.03;26.7;5.2
01/01/2023;6.03;0.06;20.7;1.7
01/01/2023;7.91;0.04;28.3;6.2
01/01/2023;7.02;0.05;24.1;3.7
01/01/2023;6.88;0.03;23.6;4.0
01/01/2023;7.15;0.06;24.8;3.6
01/01/2023;6.65;0.04;23.0;4.3
01/01/2023;6.98;0.05;24.0;3.9
01/01/2023;7.25;0.03;25.1;3.5
01/01/2023;6.55;0.06;22.8;4.1
01/01/2023;7.35;0.04;26.0;3.3
01/01/2023;6.38;0.05;21.5;2.4
01/01/2023;7.65;0.03;27.0;5.5
01/01/2023;6.05;0.06;20.5;1.9
01/01/2023;7.95;0.04;28.5;6.3
01/01/2023;7.10;0.05;24.5;3.9
01/01/2023;6.90;0.03;23.8;3.8
01/01/2023;6.75;0.06;24.9;4.2
01/01/2023;7.20;0.04;23.2;3.7
01/01/2023;6.60;0.05;25.5;4.0
01/01/2023;7.05;0.03;24.0;3.6
01/01/2023;6.45;0.06;22.0;2.7
01/01/2023;7.55;0.04;26.5;5.1
01/01/2023;6.15;0.05;21.0;2.1
01/01/2023;7.85;0.03;27.5;5.9
01/01/2023;6.99;0.06;24.1;3.8
01/01/2023;7.12;0.04;23.6;4.0
01/01/2023;6.78;0.05;24.7;3.6
01/01/2023;7.08;0.03;23.3;3.9
01/01/2023;6.68;0.06;25.0;3.8
01/01/2023;7.22;0.04;24.4;3.5
01/01/2023;6.32;0.05;22.5;2.6
01/01/2023;7.45;0.03;26.2;4.8
01/01/2023;6.08;0.06;20.8;1.8
01/01/2023;7.75;0.04;28.0;6.0
01/01/2023;6.95;0.05;23.9;3.7
01/01/2023;7.18;0.03;24.6;4.1
01/01/2023;6.85;0.06;23.4;3.7
01/01/2023;7.03;0.04;24.3;3.9
01/01/2023;6.72;0.05;25.3;4.0
01/01/2023;7.28;0.03;23.7;3.6
01/01/2023;6.28;0.06;21.8;2.7
01/01/2023;7.50;0.04;26.8;5.0
01/01/2023;6.12;0.05;21.2;2.2
01/01/2023;7.80;0.03;27.2;5.8
